date;platforms;shelf;action;count;uniq
02.06.2019;mobile_site;shelf.bestOfFavorites;view;310;139
07.06.2019;mobile_site;shelf.recomsForYou;view;416;148
02.06.2019;site;shelf.bestsellers;view;15337;8398
09.06.2019;site;shelf.bestOfFavorites;view;4701;2139
04.06.2019;mobile_site;shelf.viewedBought;view;571;223
10.06.2019;site;shelf.bestsellers;view;7836;3948
02.06.2019;site;shelf.bestOfFavorites;view;6653;2754
11.06.2019;mobile_site;shelf.viewedBought;view;483;160
14.06.2019;mobile_site;shelf.bestOfFavorites;view;231;90
01.06.2019;mobile_site;shelf.bestsellers;view;378;165
10.06.2019;mobile_site;shelf.bestsellers;view;279;133
07.06.2019;site;shelf.userHistory;view;5993;2921
15.06.2019;site;shelf.userHistory;view;4432;2124
09.06.2019;site;shelf.recomsForYou;view;8816;3866
01.06.2019;site;shelf.recomsForYou;view;9971;4298
02.06.2019;site;shelf.viewedBought;view;12695;4746
12.06.2019;mobile_site;shelf.userHistory;view;214;106
03.06.2019;mobile_site;shelf.userHistory;view;170;85
10.06.2019;site;shelf.viewedBought;view;13127;5070
03.06.2019;site;shelf.viewedBought;view;15607;5872
14.06.2019;mobile_site;shelf.userHistory;view;226;89
11.06.2019;site;shelf.viewedBought;view;13906;5479
05.06.2019;mobile_site;shelf.userHistory;view;206;101
12.06.2019;site;shelf.recomsForYou;view;9478;4138
04.06.2019;site;shelf.recomsForYou;view;18622;7582
06.06.2019;site;shelf.userHistory;view;7130;3424
14.06.2019;site;shelf.userHistory;view;6163;2972
07.06.2019;mobile_site;shelf.bestsellers;view;310;144
05.06.2019;mobile_site;shelf.bestOfFavorites;view;264;103
09.06.2019;mobile_site;shelf.bestOfFavorites;view;239;103
08.06.2019;site;shelf.bestOfFavorites;view;4732;2090
15.06.2019;site;shelf.bestOfFavorites;view;4879;2172
03.06.2019;site;shelf.bestsellers;view;9591;4633
13.06.2019;mobile_site;shelf.viewedBought;view;446;169
10.06.2019;mobile_site;shelf.recomsForYou;view;442;176
11.06.2019;site;shelf.bestsellers;view;13753;7478
06.06.2019;mobile_site;shelf.viewedBought;view;406;171
01.06.2019;mobile_site;shelf.recomsForYou;view;584;206
04.06.2019;site;shelf.bestsellers;view;10948;5385
03.06.2019;site;shelf.bestOfFavorites;view;8514;3624
12.06.2019;site;shelf.bestOfFavorites;view;5098;2313
12.06.2019;site;shelf.bestsellers;view;5330;2699
13.06.2019;mobile_site;shelf.recomsForYou;view;436;166
10.06.2019;mobile_site;shelf.viewedBought;view;502;162
06.06.2019;mobile_site;shelf.recomsForYou;view;480;199
01.06.2019;mobile_site;shelf.viewedBought;view;492;197
04.06.2019;mobile_site;shelf.bestOfFavorites;view;226;92
04.06.2019;mobile_site;shelf.bestsellers;view;535;251
11.06.2019;mobile_site;shelf.bestsellers;view;266;125
05.06.2019;site;shelf.userHistory;view;8494;4194
13.06.2019;site;shelf.userHistory;view;6423;3047
11.06.2019;site;shelf.recomsForYou;view;17073;7845
03.06.2019;site;shelf.recomsForYou;view;16069;6359
04.06.2019;site;shelf.viewedBought;view;18224;7021
12.06.2019;site;shelf.viewedBought;view;9171;3510
02.06.2019;mobile_site;shelf.userHistory;view;251;126
09.06.2019;mobile_site;shelf.userHistory;view;191;83
07.06.2019;mobile_site;shelf.bestsellersForCategory;view;2;1
01.06.2019;site;shelf.viewedBought;view;10817;3919
15.06.2019;mobile_site;shelf.userHistory;view;178;86
08.06.2019;mobile_site;shelf.userHistory;view;134;65
09.06.2019;site;shelf.viewedBought;view;8600;3276
10.06.2019;site;shelf.recomsForYou;view;14343;6044
02.06.2019;site;shelf.recomsForYou;view;15096;7166
08.06.2019;site;shelf.userHistory;view;4150;2009
13.06.2019;mobile_site;shelf.bestsellers;view;332;148
06.06.2019;mobile_site;shelf.bestsellers;view;330;156
11.06.2019;mobile_site;shelf.recomsForYou;view;406;165
01.06.2019;site;shelf.bestsellers;view;6301;3108
05.06.2019;site;shelf.bestOfFavorites;view;9994;4399
09.06.2019;site;shelf.bestsellers;view;5257;2617
14.06.2019;site;shelf.bestOfFavorites;view;6361;2837
07.06.2019;mobile_site;shelf.viewedBought;view;455;160
04.06.2019;mobile_site;shelf.recomsForYou;view;594;244
07.06.2019;mobile_site;shelf.bestOfFavorites;view;224;93
11.06.2019;mobile_site;shelf.bestOfFavorites;view;224;98
11.06.2019;site;shelf.bestOfFavorites;view;7712;3405
06.06.2019;site;shelf.bestsellers;view;8590;4250
04.06.2019;site;shelf.bestOfFavorites;view;10486;4499
14.06.2019;site;shelf.bestsellers;view;13741;7530
05.06.2019;mobile_site;shelf.recomsForYou;view;535;225
02.06.2019;mobile_site;shelf.viewedBought;view;676;237
09.06.2019;mobile_site;shelf.viewedBought;view;452;166
14.06.2019;mobile_site;shelf.recomsForYou;view;518;191
03.06.2019;mobile_site;shelf.bestsellers;view;419;190
12.06.2019;mobile_site;shelf.bestsellers;view;419;188
03.06.2019;site;shelf.userHistory;view;6905;3351
11.06.2019;site;shelf.userHistory;view;6818;3278
10.06.2019;mobile_site;shelf.bestOfFavorites;view;214;93
06.06.2019;mobile_site;shelf.bestOfFavorites;view;214;104
13.06.2019;site;shelf.recomsForYou;view;13185;5765
05.06.2019;site;shelf.recomsForYou;view;21947;10310
06.06.2019;site;shelf.viewedBought;view;14954;5585
01.06.2019;mobile_site;shelf.userHistory;view;208;110
10.06.2019;mobile_site;shelf.userHistory;view;175;83
14.06.2019;site;shelf.viewedBought;view;12093;4818
13.06.2019;mobile_site;shelf.bestOfFavorites;view;160;68
07.06.2019;mobile_site;shelf.userHistory;view;132;64
07.06.2019;site;shelf.viewedBought;view;12172;4607
15.06.2019;site;shelf.viewedBought;view;8295;3239
01.06.2019;mobile_site;shelf.bestOfFavorites;view;226;120
08.06.2019;site;shelf.recomsForYou;view;11629;5549
02.06.2019;site;shelf.userHistory;view;5435;2646
10.06.2019;site;shelf.userHistory;view;6534;3201
14.06.2019;mobile_site;shelf.bestsellers;view;436;179
05.06.2019;mobile_site;shelf.bestsellers;view;431;199
07.06.2019;site;shelf.bestsellers;view;6915;3411
03.06.2019;mobile_site;shelf.recomsForYou;view;510;201
12.06.2019;mobile_site;shelf.recomsForYou;view;523;218
06.06.2019;site;shelf.bestOfFavorites;view;8332;3600
13.06.2019;site;shelf.bestOfFavorites;view;6638;2993
15.06.2019;site;shelf.bestsellers;view;4930;2507
15.06.2019;mobile_site;shelf.viewedBought;view;472;171
08.06.2019;mobile_site;shelf.viewedBought;view;378;150
08.06.2019;site;shelf.bestsellers;view;11200;6300
08.06.2019;mobile_site;shelf.recomsForYou;view;403;167
15.06.2019;mobile_site;shelf.recomsForYou;view;470;182
10.06.2019;site;shelf.bestOfFavorites;view;7717;3401
12.06.2019;mobile_site;shelf.viewedBought;view;526;206
01.06.2019;site;shelf.bestOfFavorites;view;6135;2492
03.06.2019;mobile_site;shelf.viewedBought;view;535;206
02.06.2019;mobile_site;shelf.bestsellers;view;515;235
09.06.2019;mobile_site;shelf.bestsellers;view;376;154
01.06.2019;site;shelf.userHistory;view;4785;2360
09.06.2019;site;shelf.userHistory;view;4509;2138
12.06.2019;mobile_site;shelf.bestOfFavorites;view;251;91
15.06.2019;site;shelf.recomsForYou;view;9128;4023
07.06.2019;site;shelf.recomsForYou;view;11852;5133
04.06.2019;mobile_site;shelf.userHistory;view;168;81
08.06.2019;site;shelf.viewedBought;view;8819;3544
11.06.2019;mobile_site;shelf.userHistory;view;162;78
08.06.2019;mobile_site;shelf.bestOfFavorites;view;210;93
05.06.2019;site;shelf.viewedBought;view;18663;7381
13.06.2019;site;shelf.viewedBought;view;12088;4713
06.06.2019;mobile_site;shelf.userHistory;view;178;86
13.06.2019;mobile_site;shelf.userHistory;view;170;82
14.06.2019;site;shelf.recomsForYou;view;16040;7420
06.06.2019;site;shelf.recomsForYou;view;14174;6109
15.06.2019;mobile_site;shelf.bestOfFavorites;view;188;96
03.06.2019;mobile_site;shelf.bestOfFavorites;view;261;100
04.06.2019;site;shelf.userHistory;view;8606;4218
12.06.2019;site;shelf.userHistory;view;4778;2261
15.06.2019;mobile_site;shelf.bestsellers;view;373;176
08.06.2019;mobile_site;shelf.bestsellers;view;322;157
07.06.2019;site;shelf.bestOfFavorites;view;6838;3058
05.06.2019;mobile_site;shelf.viewedBought;view;596;197
05.06.2019;site;shelf.bestsellers;view;19985;10808
13.06.2019;site;shelf.bestsellers;view;7602;3805
02.06.2019;mobile_site;shelf.recomsForYou;view;708;278
